DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Sun Oct 24 2021 05:56:04 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.017102,XTZ,onoGtyLtdT6LsErMKaMdmnCjEByAeATWx1cNmc3nPnCjfC8aZDg,https://tzstats.com/operation/onoGtyLtdT6LsErMKaMdmnCjEByAeATWx1cNmc3nPnCjfC8aZDg,,
Tue Oct 26 2021 11:37:42 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.016809,XTZ,onxm3EfgTXGWyswpTTXzo49DFtJdr1HHwsMkKLQd2HWhHA27ZWX,https://tzstats.com/operation/onxm3EfgTXGWyswpTTXzo49DFtJdr1HHwsMkKLQd2HWhHA27ZWX,,
Sat Oct 30 2021 21:03:02 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.018099,XTZ,oo2SRhBakwSqDWoqhaWx25ShVdNVXrEv9sBSnABfiPx8ZZfRtx7,https://tzstats.com/operation/oo2SRhBakwSqDWoqhaWx25ShVdNVXrEv9sBSnABfiPx8ZZfRtx7,,
Tue Nov 02 2021 00:35:32 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.016498,XTZ,opaBj3eKqk1ooncrwWfdDvXzbjRwDUPnWZYpMop6nR9k45Q7ms4,https://tzstats.com/operation/opaBj3eKqk1ooncrwWfdDvXzbjRwDUPnWZYpMop6nR9k45Q7ms4,,
Thu Nov 04 2021 07:45:58 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.016009,XTZ,onfpEFg1XN2eQ6JnYYsZ85mshxENQh34GyWfE9Yy9kUTqDBjmWK,https://tzstats.com/operation/onfpEFg1XN2eQ6JnYYsZ85mshxENQh34GyWfE9Yy9kUTqDBjmWK,,
Sat Nov 06 2021 02:18:18 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,1e-7,XLM,8d83c192ea7b8d31e323b5e1702abcb076945f7d8a43b3a1800a766f448d0706,https://stellar.expert/explorer/public/tx/8d83c192ea7b8d31e323b5e1702abcb076945f7d8a43b3a1800a766f448d0706,,
Sat Nov 06 2021 06:24:06 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,1e-7,XLM,1b2ee91ab46fa9aaa2a5bbda861a1563db4735276e1a1a53493a5f650cfe5c35,https://stellar.expert/explorer/public/tx/1b2ee91ab46fa9aaa2a5bbda861a1563db4735276e1a1a53493a5f650cfe5c35,,
Sun Nov 07 2021 10:58:26 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016484,XTZ,onuh4GLpZ15EK3ma2wm7fg4zMVewhcNRDSC9qzRSJdQptvwp7EC,https://tzstats.com/operation/onuh4GLpZ15EK3ma2wm7fg4zMVewhcNRDSC9qzRSJdQptvwp7EC,,
Wed Nov 10 2021 01:47:28 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016983,XTZ,opY1tUPxMdNQ6kPGWsUkYFf95kmRiZbHCjEPkqjeMqXB9aoWFhG,https://tzstats.com/operation/opY1tUPxMdNQ6kPGWsUkYFf95kmRiZbHCjEPkqjeMqXB9aoWFhG,,
Sat Nov 13 2021 07:30:28 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017035,XTZ,oo6Kb2WkgBQKBZ1c3A1Dt5sZqXKUdwqqUKcXQonyEUgZ1S5zJdx,https://tzstats.com/operation/oo6Kb2WkgBQKBZ1c3A1Dt5sZqXKUdwqqUKcXQonyEUgZ1S5zJdx,,
Mon Nov 15 2021 14:04:05 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-0.00391753,BTC,-0.00001537,BTC,bc1qwvas3ls7p0ajwe429efjh64h99ls4uyjc06ek9,0ed5a511d884d2113ae910c972857c13b04619d9ac5c1a66549c36bfeccb728e,https://mempool.space/tx/0ed5a511d884d2113ae910c972857c13b04619d9ac5c1a66549c36bfeccb728e,,,,,,
Tue Nov 16 2021 07:02:52 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016343,XTZ,opTqmDX42veUXVo2dHNDHFdmWBfj1fWhLzTgWzq9fiF2mctNbeQ,https://tzstats.com/operation/opTqmDX42veUXVo2dHNDHFdmWBfj1fWhLzTgWzq9fiF2mctNbeQ,,
Fri Nov 19 2021 00:44:22 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.01667,XTZ,ooLcoR8bNNTgiz5S2T65jRYqvdMTPWtqov3ppN2WVim9jgGP23o,https://tzstats.com/operation/ooLcoR8bNNTgiz5S2T65jRYqvdMTPWtqov3ppN2WVim9jgGP23o,,
Mon Nov 22 2021 01:17:22 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016919,XTZ,opD48xvqqGqg9uKg3S6ytWqdBnmjMjLQ4Ga1MM1woHHk8igtweP,https://tzstats.com/operation/opD48xvqqGqg9uKg3S6ytWqdBnmjMjLQ4Ga1MM1woHHk8igtweP,,
Thu Nov 25 2021 00:46:48 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016799,XTZ,opGt4K2421ikgHkHcchXsKxQBQukxQZUoBtYz1gMm1QDPMne8U2,https://tzstats.com/operation/opGt4K2421ikgHkHcchXsKxQBQukxQZUoBtYz1gMm1QDPMne8U2,,
Sat Nov 27 2021 23:58:08 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017739,XTZ,onjRNT4EjrpLnKHPZt596YHhXc9NaiKqNw161FXJceShMtiCs3d,https://tzstats.com/operation/onjRNT4EjrpLnKHPZt596YHhXc9NaiKqNw161FXJceShMtiCs3d,,
Tue Nov 30 2021 22:13:44 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.01647,XTZ,ooptaeo6Ca2NFqhNTFspdZBpkMdQTveGNd6SymdYooNdgRKKZDi,https://tzstats.com/operation/ooptaeo6Ca2NFqhNTFspdZBpkMdQTveGNd6SymdYooNdgRKKZDi,,
Sat Dec 04 2021 09:52:20 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016901,XTZ,op3qZX5E5in7E7grwycxCveFXRCH4rRuus88hZPiLeQgscApZQS,https://tzstats.com/operation/op3qZX5E5in7E7grwycxCveFXRCH4rRuus88hZPiLeQgscApZQS,,
Tue Dec 07 2021 09:40:20 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016576,XTZ,opWqiuqJ1PDXjSNDSpXed4fSfwiR5bLcGkLQ4NF1wra4kzRgSy1,https://tzstats.com/operation/opWqiuqJ1PDXjSNDSpXed4fSfwiR5bLcGkLQ4NF1wra4kzRgSy1,,
Fri Dec 10 2021 08:45:56 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.016352,XTZ,onqMp4ru7j8eAFanv4zNnGW2pYAVswWkFcmFepKafUejN2SAKH7,https://tzstats.com/operation/onqMp4ru7j8eAFanv4zNnGW2pYAVswWkFcmFepKafUejN2SAKH7,,
