Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed,TimeInForceTypeId,TimeInForce
2905e9c7-92ab-4ddc-b91c-d4575976281c,USD-DOGE,2/11/2021 11:11:41 PM,CEILING_MARKET_BUY,0.08871000,1409.06990113,0.00000000,0.00000000,100.00000000,0.07096880,False,,0.00000000,False,2/11/2021 11:11:41 PM,7,
ddb87511-5e8d-42f2-90d8-d1d980c889ef,USD-BTC,4/16/2021 1:50:32 PM,CEILING_MARKET_BUY,76947.70000000,0.00081224,0.00000000,0.00000000,50.00000000,61558.16014971,False,,0.00000000,False,4/16/2021 1:50:32 PM,7,
ddf2da01-4244-4f1a-9afd-2c9de4f0050e,USD-DOGE,4/16/2021 1:50:59 PM,CEILING_MARKET_BUY,0.52653000,118.70140661,0.00000000,0.00000000,50.00000000,0.42122500,False,,0.00000000,False,4/16/2021 1:50:59 PM,7,
