Transaction,Type,Currency,Amount,USD Equivalent,Details,Outstanding Loan,Date / Time
NXTjHNHxNMNZ8,Interest,BTC,0.00000333,$0.113186367,approved / BTC Interest Earned,$0.00,2021-01-06 01:00:03
NXTVYBf91Fh7D,Interest,BTC,0.00000333,$0.10668987,approved / BTC Interest Earned,$0.00,2021-01-05 01:00:02
NXT6dlzYo0jvW,Interest,BTC,0.00000333,$0.109889001,approved / BTC Interest Earned,$0.00,2021-01-04 01:00:02
NXTQJOpHaDz6S,Interest,BTC,0.00000333,$0.107250975,approved / BTC Interest Earned,$0.00,2021-01-03 01:00:03
NXT22HbBNUTTt,Interest,BTC,0.00000333,$0.0978354,approved / BTC Interest Earned,$0.00,2021-01-02 01:00:02
NXTxY1S8BWjVv,Interest,BTC,0.00000333,$0.09651006,approved / BTC Interest Earned,$0.00,2021-01-01 01:00:02
NXTRVEkrcca3y,Interest,BTC,0.00000333,$0.096158412,approved / BTC Interest Earned,$0.00,2020-12-31 01:00:02
NXTIq4tzhRpzb,Interest,BTC,0.00000333,$0.09121203,approved / BTC Interest Earned,$0.00,2020-12-30 01:00:02
NXTjstMlXUJxm,Deposit,NEXO,212.74233871,$124.56063931471,approved / 0xc6acdcc68da258e094701b7d7a21ef50f49e1fde1e50193948502f9e1c2890bf,$0.00,2020-12-29 02:42:03
NXTOlcWp5afCC,Withdrawal,BTC,-0.00500000,$134.483,approved / BTC withdrawal,$0.00,2020-12-29 01:20:20
NXTxKkatOxAuC,Interest,BTC,0.00000345,$0.093238665,approved / BTC Interest Earned,$0.00,2020-12-29 01:00:02
NXTnAEyHj9MUt,Interest,BTC,0.00000345,$0.090489015,approved / BTC Interest Earned,$0.00,2020-12-28 01:00:03
NXTnsJ2iw7r57,Interest,BTC,0.00000345,$0.091225245,approved / BTC Interest Earned,$0.00,2020-12-27 01:00:02
NXT7GvUpAf2Qy,Interest,BTC,0.00000345,$0.085187745,approved / BTC Interest Earned,$0.00,2020-12-26 01:00:03
NXT0OBVuWLHqv,Interest,BTC,0.00000345,$0.081810885,approved / BTC Interest Earned,$0.00,2020-12-25 01:00:02
NXT8lWKtIQOYo,Interest,BTC,0.00000345,$0.08021526,approved / BTC Interest Earned,$0.00,2020-12-24 01:00:02
NXTykE9zgp4tS,Interest,BTC,0.00000345,$0.082200735,approved / BTC Interest Earned,$0.00,2020-12-23 01:00:03
NXTikl7kxVQON,Interest,BTC,0.00000345,$0.07838055,approved / BTC Interest Earned,$0.00,2020-12-22 01:00:02
NXTD4vjhDMUi1,Interest,BTC,0.00000345,$0.081008415,approved / BTC Interest Earned,$0.00,2020-12-21 01:00:02
NXTqewpYjYi4v,Interest,BTC,0.00000345,$0.082371855,approved / BTC Interest Earned,$0.00,2020-12-20 01:00:03
NXTbZgbJfZJMK,Interest,BTC,0.00000345,$0.079833,approved / BTC Interest Earned,$0.00,2020-12-19 01:00:02
NXTlGBHWzXPgw,Interest,BTC,0.00000345,$0.078802485,approved / BTC Interest Earned,$0.00,2020-12-18 01:00:02
NXTaRYEO5tCkv,Interest,BTC,0.00000345,$0.073754445,approved / BTC Interest Earned,$0.00,2020-12-17 01:00:02
NXTGM9h9pheCL,Interest,BTC,0.00000345,$0.067049715,approved / BTC Interest Earned,$0.00,2020-12-16 01:00:03
NXTAFzK2EdhFg,Interest,BTC,0.00000345,$0.06651945,approved / BTC Interest Earned,$0.00,2020-12-15 01:00:02
NXTKtFmVko9rF,Interest,BTC,0.00000344,$0.065924504,approved / BTC Interest Earned,$0.00,2020-12-14 01:00:03
NXT7KzI6s7jOk,Interest,BTC,0.00000344,$0.064716032,approved / BTC Interest Earned,$0.00,2020-12-13 01:00:02
NXTkIWvXb9SA6,Interest,BTC,0.00000344,$0.06212124,approved / BTC Interest Earned,$0.00,2020-12-12 01:00:02
NXTvf8mCHllt2,Interest,BTC,0.00000344,$0.062767616,approved / BTC Interest Earned,$0.00,2020-12-11 01:00:03
NXTyPc4wKDrbd,Interest,BTC,0.00000344,$0.063806496,approved / BTC Interest Earned,$0.00,2020-12-10 01:00:02
NXTJbssZecStB,Interest,BTC,0.00000344,$0.063022176,approved / BTC Interest Earned,$0.00,2020-12-09 01:00:02
NXTKXgoVc9gV3,Interest,BTC,0.00000344,$0.06595684,approved / BTC Interest Earned,$0.00,2020-12-08 01:00:02
NXTQeUTFGlSc1,Interest,BTC,0.00000344,$0.0666844,approved / BTC Interest Earned,$0.00,2020-12-07 01:00:02
NXTuGhuI2aDBh,Interest,BTC,0.00000344,$0.06588632,approved / BTC Interest Earned,$0.00,2020-12-06 01:00:02
NXTYYtdLsliYu,Interest,BTC,0.00000344,$0.064187304,approved / BTC Interest Earned,$0.00,2020-12-05 01:00:03
NXTXT1IvLJ2OG,Interest,BTC,0.00000344,$0.066900088,approved / BTC Interest Earned,$0.00,2020-12-04 01:00:03
NXTP4pXA3UxrY,Interest,BTC,0.00000344,$0.066135376,approved / BTC Interest Earned,$0.00,2020-12-03 01:00:02
NXTNIAmosSX40,Interest,BTC,0.00000344,$0.064600448,approved / BTC Interest Earned,$0.00,2020-12-02 01:00:03
NXTNB3ygazjEx,Interest,BTC,0.00000344,$0.06766308,approved / BTC Interest Earned,$0.00,2020-12-01 01:00:02
NXTrUTKAc3hvK,Interest,BTC,0.00000344,$0.062572568,approved / BTC Interest Earned,$0.00,2020-11-30 01:00:03
NXTOiqjqhFdbO,Interest,BTC,0.00000344,$0.06099808,approved / BTC Interest Earned,$0.00,2020-11-29 01:00:02
NXToEDfjq0HYG,Interest,BTC,0.00000344,$0.058964696,approved / BTC Interest Earned,$0.00,2020-11-28 01:00:02
NXTRK7TJVa9oZ,Interest,BTC,0.00000344,$0.059030056,approved / BTC Interest Earned,$0.00,2020-11-27 01:00:02
NXTlckhBdj5jS,Interest,BTC,0.00000344,$0.0644828,approved / BTC Interest Earned,$0.00,2020-11-26 01:00:03
NXTI9wCQTfnIp,Interest,BTC,0.00000344,$0.065968192,approved / BTC Interest Earned,$0.00,2020-11-25 01:00:03
NXTVrI9hFJS2J,Interest,BTC,0.00000344,$0.063254032,approved / BTC Interest Earned,$0.00,2020-11-24 01:00:02
NXT8XPuyozdUn,Interest,BTC,0.00000344,$0.063468,approved / BTC Interest Earned,$0.00,2020-11-23 01:00:03
NXT33Wy4FNfwE,Interest,BTC,0.00000343,$0.064141343,approved / BTC Interest Earned,$0.00,2020-11-22 01:00:03
NXTzY63uHxfeA,Interest,BTC,0.00000343,$0.064105328,approved / BTC Interest Earned,$0.00,2020-11-21 01:00:02
NXTT6ZlhgRkcJ,Interest,BTC,0.00000343,$0.061142837,approved / BTC Interest Earned,$0.00,2020-11-20 01:00:03
NXTzhOz50rsBU,Interest,BTC,0.00000343,$0.061054,approved / BTC Interest Earned,$0.00,2020-11-19 01:00:02
NXTfhrMK8uDxh,Interest,BTC,0.00000343,$0.060655434,approved / BTC Interest Earned,$0.00,2020-11-18 01:00:03
NXTTon2CWfoKD,Interest,BTC,0.00000343,$0.057330392,approved / BTC Interest Earned,$0.00,2020-11-17 01:00:02
NXTQXbVAoLG9J,Interest,BTC,0.00000343,$0.05476681,approved / BTC Interest Earned,$0.00,2020-11-16 01:00:03
NXTciBAuEcut2,Interest,BTC,0.00000343,$0.055193159,approved / BTC Interest Earned,$0.00,2020-11-15 01:00:02
NXTCmiBf30oRv,Interest,BTC,0.00000343,$0.056057519,approved / BTC Interest Earned,$0.00,2020-11-14 01:00:03
NXTg9PTTqQIBe,Interest,BTC,0.00000343,$0.055902826,approved / BTC Interest Earned,$0.00,2020-11-13 01:00:02
NXTNKJlswfrw9,Interest,BTC,0.00000343,$0.053880498,approved / BTC Interest Earned,$0.00,2020-11-12 01:00:02
NXT2CdRPt6jgm,Interest,BTC,0.00000343,$0.05254417,approved / BTC Interest Earned,$0.00,2020-11-11 01:00:02
NXTwsR9KxubgG,Interest,BTC,0.00000343,$0.052557204,approved / BTC Interest Earned,$0.00,2020-11-10 01:00:02
NXTpSf7wIynLf,Interest,BTC,0.00000343,$0.053111149,approved / BTC Interest Earned,$0.00,2020-11-09 01:00:02
NXT2uefgxcIBE,Interest,BTC,0.00000343,$0.050891939,approved / BTC Interest Earned,$0.00,2020-11-08 01:00:03
NXTq91Vg6jWgQ,Interest,BTC,0.00000343,$0.053487077,approved / BTC Interest Earned,$0.00,2020-11-07 01:00:02
NXTBa6ug9IAUx,Interest,BTC,0.00000343,$0.05354916,approved / BTC Interest Earned,$0.00,2020-11-06 01:00:02
NXTfvZinChWaH,Interest,BTC,0.00000343,$0.048588008,approved / BTC Interest Earned,$0.00,2020-11-05 01:00:02
NXT2r5tMth2AR,Interest,BTC,0.00000343,$0.048081397,approved / BTC Interest Earned,$0.00,2020-11-04 01:00:02
NXTZbblZsWzHf,Interest,BTC,0.00000343,$0.046552646,approved / BTC Interest Earned,$0.00,2020-11-03 01:00:03
NXTBPjvCgdPIe,Interest,BTC,0.00000343,$0.047186167,approved / BTC Interest Earned,$0.00,2020-11-02 01:00:02
NXTdibSn8qf29,Interest,BTC,0.00000342,$0.04722849,approved / BTC Interest Earned,$0.00,2020-11-01 01:00:02
NXTveoJQqyxju,Interest,BTC,0.00000240,$0.03254856,approved / BTC Interest Earned,$0.00,2020-10-31 01:00:02
NXTbjt7ZYEnPX,Deposit,BTC,0.00763495,$103.504726665,approved / 01bc7eaa7274b77f6badad51e3c09420af2c696636ec51e81e751a35b748042d,$0.00,2020-10-30 21:24:08
NXTTZ6rSS6Ins,Withdrawal,XRP,-180.14488800,$42.874483344,approved / XRP withdrawal,$0.00,2020-10-30 16:36:44
NXTztWLWm9Q0g,Interest,XRP,0.02407865,$0.005838591052,approved / XRP Interest Earned,$0.00,2020-10-30 01:00:02
NXTHzBWGSfelc,Interest,BTC,0.00000240,$0.03229344,approved / BTC Interest Earned,$0.00,2020-10-30 01:00:02
NXTufmUfcZB2C,Interest,BTC,0.00000240,$0.03187056,approved / BTC Interest Earned,$0.00,2020-10-29 01:00:02
NXTIM3gnEeYA1,Interest,XRP,0.02407543,$0.0059042584532,approved / XRP Interest Earned,$0.00,2020-10-29 01:00:02
NXT6IRQGqLxjU,Interest,BTC,0.00000193,$0.026377696,approved / BTC Interest Earned,$0.00,2020-10-28 01:00:02
NXTrezoW4Whz8,Interest,XRP,0.01935107,$0.0048758891079,approved / XRP Interest Earned,$0.00,2020-10-28 01:00:02
NXTRr40Mc7o5O,Interest,BTC,0.00000193,$0.025220854,approved / BTC Interest Earned,$0.00,2020-10-27 01:00:02
NXTDDcObqIYL2,Interest,XRP,0.01934900,$0.00480261529,approved / XRP Interest Earned,$0.00,2020-10-27 01:00:02
NXTzwtDY43Nq1,Interest,BTC,0.00000193,$0.025141917,approved / BTC Interest Earned,$0.00,2020-10-26 01:00:02
NXT3P6mWykMqb,Interest,XRP,0.01934692,$0.004896705452,approved / XRP Interest Earned,$0.00,2020-10-26 01:00:02
NXTpI4GQluj6f,Interest,BTC,0.00000193,$0.025256752,approved / BTC Interest Earned,$0.00,2020-10-25 01:00:03
NXTaeceg05TMJ,Interest,XRP,0.01934484,$0.0049524724884,approved / XRP Interest Earned,$0.00,2020-10-25 01:00:03
NXTGpafnzsbe9,Interest,XRP,0.01934276,$0.0049157690264,approved / XRP Interest Earned,$0.00,2020-10-24 01:00:02
NXT2C943E3Ltn,Interest,BTC,0.00000193,$0.024994272,approved / BTC Interest Earned,$0.00,2020-10-24 01:00:02
NXTblzYHikJwG,Interest,BTC,0.00000086,$0.011214658,approved / BTC Interest Earned,$0.00,2020-10-23 01:00:02
NXTSfUphJmJW6,Deposit,BTC,0.01000000,$131.299,approved / a6fed81a5d54e29d86845f81435a26feba73269a890a3867da5cc8cbe96bdaa3,$0.00,2020-10-22 23:06:50
NXTB55PiQ1ahP,Deposit,XRP,180.00000000,$47.178,approved / A864479EAD657CAC95CEB38345C6A407D19ABBE72F5857604228B5A369F71E46,$0.00,2020-10-22 22:59:00
NXTXAstZDjgVM,Interest,BTC,0.00000086,$0.011176044,approved / BTC Interest Earned,$0.00,2020-10-22 01:00:02
NXTLoSXU4gKBW,Interest,BTC,0.00000086,$0.01028216,approved / BTC Interest Earned,$0.00,2020-10-21 01:00:03
NXT0RvJ8Odl7k,Interest,BTC,0.00000086,$0.01010457,approved / BTC Interest Earned,$0.00,2020-10-20 01:00:02
NXTZT24BTUuAC,Interest,BTC,0.00000085,$0.009753665,approved / BTC Interest Earned,$0.00,2020-10-19 01:00:02
NXTCO8AXckF5h,Interest,BTC,0.00000085,$0.00964631,approved / BTC Interest Earned,$0.00,2020-10-18 01:00:03
NXTEShl1DVOTH,Interest,BTC,0.00000085,$0.0096509,approved / BTC Interest Earned,$0.00,2020-10-17 01:00:03
NXTXhYxFyzxiF,Interest,BTC,0.00000085,$0.009760125,approved / BTC Interest Earned,$0.00,2020-10-16 01:00:03
NXTv5EybN7gbm,Deposit,BTC,0.00800000,$90.7352,approved / 154a145f5f36d3fa4b37e2c884fff41cfb3b6b85ee2dc3d3fdad886be99e41aa,$0.00,2020-10-14 20:56:08
